SID,age,sex,experimenter,location,language,exclude,exclude_reason,trial,num_queried,num_answer,correct,notes,exclude_trial,exclude_trial_reason,double_coded
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,2,7,idk,0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,3,26,91,0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,4,30,"31, eighteen",0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,5,62,89,0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,6,83,"90, fourteen",0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,7,95,69,0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,8,71,"80, 90",0,,,,KG
022818-TB,4.394250513,M,VM,Gillispie,English,1,not cp knower,9,24,18,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,1,1,2,1,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,2,7,8,1,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,3,26,idk,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,4,30,40,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,5,62,forgot,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,6,83,forgot,0,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,7,95,96,1,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,8,71,72,1,,,,KG
022818-HVC,5.119780972,F,VM,Gillispie,English,0,,9,24,25,1,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,1,1,2,1,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,2,7,8,1,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,3,26,27,1,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,4,30,31,1,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,5,62,63,1,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,6,83,84,1,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,7,95,96,1,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,8,71,72,1,,,,KG
032218-LS,5.17453799,M,RMS,Northminster,English,0,,9,24,25,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,1,1,2,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,2,7,8,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,3,26,27,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,4,30,31,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,5,62,63,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,6,83,84,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,7,95,96,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,8,71,72,1,,,,KG
032218-AS,4.93360712,F,RMS,Northminster,English,0,,9,24,25,1,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,1,1,2,1,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,2,7,8,1,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,3,26,9,0,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,4,30,31,1,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,5,62,69,0,,,,KG
032218-LM,5.17522245,F,RMS,Northminster,English,0,,6,83,84,1,,,,KG
