SID,age,sex,experimenter,location,language,exclude,exclude_reason,last_successful,error,prompt,after_prompt,initial_highest,final_highest,special_count,note,exclude_trial,exclude_trial_reason,double_coded
052218-PP,4.752908966,F,KG,Adventure Days,English,0,,69,40,70,71,69,79,0,,,,SG
052218-PP,4.752908966,F,KG,Adventure Days,English,0,,76,79,77,78,69,79,0,,,,SG
052218-PP,4.752908966,F,KG,Adventure Days,English,0,,79,78,80,79,69,79,0,,,,SG
052218-DG,4.813141684,M,KG,Adventure Days,English,0,,24,30,25,1,24,30,1,child started from 1,,,SG
052218-DG,4.813141684,M,KG,Adventure Days,English,0,,25,30,26,27,24,30,0,,,,SG
052218-DG,4.813141684,M,KG,Adventure Days,English,0,,29,IDK,30,IDK,24,30,0,,,,SG
053018-LP,5.119780972,M,CL,Gillispie,English,0,,26,29,27,17,26,59,0,4 prompts were given within one decade. Need permission to exclude/delete the following data. Watch the video to make sure.,,,Slu
053018-LP,5.119780972,M,CL,Gillispie,English,0,,28,IDK,29,No response,26,59,0,,,,Slu
053018-LP,5.119780972,M,CL,Gillispie,English,0,,29,27,30,31,26,59,0,,,,Slu
053018-LP,5.119780972,M,CL,Gillispie,English,0,,39,30,40,41,26,59,0,,,,Slu
053018-LP,5.119780972,M,CL,Gillispie,English,0,,46,49,47,48,26,59,0,,,,Slu
053018-LP,5.119780972,M,CL,Gillispie,English,0,,49,100,50,51,26,59,0,,,,Slu
053018-LP,5.119780972,M,CL,Gillispie,English,0,,56,100,57,IDK,26,59,0,,,,Slu
053018-LP,5.119780972,M,CL,Gillispie,English,0,,57,IDK,58,59,26,59,0,,,,Slu
053018-LP,5.119780972,M,CL,Gillispie,English,0,,59,100,60,100,26,59,0,,,,Slu
053018-DA,4.098562628,M,CL,Gillispie,English,0,,29,40,29,30,29,81,0,4 prompts were given within one decade. Need permission to exclude/delete the following data. Watch the video to make sure. In decade 60,,,Slu
053018-DA,4.098562628,M,CL,Gillispie,English,0,,49,59,50,51,29,81,0,,,,Slu
053018-DA,4.098562628,M,CL,Gillispie,English,0,,59,40,60,61,29,81,0,,,,Slu
053018-DA,4.098562628,M,CL,Gillispie,English,0,,66,62,67,68,29,81,0,,,,Slu
053018-DA,4.098562628,M,CL,Gillispie,English,0,,69,60-10,70,71,29,81,0,,,,Slu
053018-DA,4.098562628,M,CL,Gillispie,English,0,,79,78,80,81,29,81,0,,,,Slu
052418-SW,5.42368241,F,SL,Northminster,English,0,,119,191,120,121,119,121,0,,,,Slu
052418-NC,4.73921971,F,KG,Northminster,English,0,,19,21,20,21,19,26,0,Stopped around 26/27 but not sure if 3+ prompts were given before stopping the game,,,Slu
052418-NC,4.73921971,F,KG,Northminster,English,0,,25,16,26,25,19,26,0,,,,Slu
060118-EG,4.01368925,F,SL,Lab,English,0,,29,20,30,31,29,39,0,,,,Slu
060118-EG,4.01368925,F,SL,Lab,English,0,,39,30,40,That's as high as I can count,29,39,0,,,,Slu
052418-RM,4.678986995,M,SL,Northminster,English,0,,28,30,29,I can't do any more numbers,28,29,0,,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,33,35,34,35,33,68,0,,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,43,45,None,NA,33,68,0,Experimenter error,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,49,30,50,51,33,68,0,,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,59,70,60,61,33,68,0,,,,Slu
052418-MN,5.229295,F,SL,Northminster,English,0,,68,70,69,68,33,68,0,,,,Slu
052418-SP,4.50376454,F,SL,Northminster,English,0,,39,50,40,41,39,79,0,,,,Slu
052418-SP,4.50376454,F,SL,Northminster,English,0,,57,59,58,59,39,79,0,,,,Slu
052418-SP,4.50376454,F,SL,Northminster,English,0,,59,IDK,60,61,39,79,0,,,,Slu
052418-SP,4.50376454,F,SL,Northminster,English,0,,69,IDK,70,71,39,79,0,,,,Slu
052418-SP,4.50376454,F,SL,Northminster,English,0,,79,IDK,80,IDK,39,79,0,,,,Slu
052418-KJ,5.700205339,F,SL,Northminster,English,0,,49,IDK,50,61,49,69,0,,,,Slu
